re-tweeted,hour,microsecond,day,minute,month,favorited,tweet,username,followed,second,year
True,13,387892,29,19,12,False,"RT @Sriracha_FG: Fancy winning a selection of our #Sriracha sauce?

FOLLOW &amp; RT to enter our festive #Competition!

#FreebieFriday #Win htt…",Sriracha_FG,True,48,2017
False,13,289820,29,19,12,False,"RT @ATLHawks: #FreebieFriday: 2 lower level tickets to our game against the Blazers tomorrow, thanks to @budweiserusa! RETWEET to enter to…",Sriracha_FG,False,59,2017
False,13,151387,29,22,12,False,"RT @beautiwithlexi: RT TO WIN: Fenty Beauty Stunna Lip Paint

Must be following @beautiwithlexi to win ✨ https://t.co/frfRmv1VDc",beautiwithlexi,True,20,2017
True,13,569793,29,22,12,False,"RT @Patriots: Stay warm &amp; RT to enter to win a 2017 Throwback On Field Knit @NewEraCap!

#PatsHatFriday rules:  https://t.co/G27OoOUZQg htt…",beautiwithlexi,False,30,2017
False,13,311691,29,25,12,False,RT @TheeOnlyOciera: RT to win MAC’s Snow Ball Fix+ Kit &amp; Nicki Minaj x MAC The Pinkprint lipstick.💄 must be following me to be eligible. Wi…,TheeOnlyOciera,True,2,2017
False,13,585345,29,25,12,False,"RT @jenchriistine: RT to WIN: Unlocked iPhone 8, must be following me 💕 (repost bc typo)
extra entries if ya following my instagram https:/…",jenchriistine,True,13,2017
False,13,229255,29,27,12,False,"RT @ReesesAndFitnes: ❄ #COMPETITION TIME ❄

FLW/RT FOR the chance to #WIN this brilliant Cadbury’s selection 😍😍 Competition ends 8am 31.12.…",ReesesAndFitnes,True,21,2017
True,13,487989,29,55,12,False,RT @BravesRetail: Thinking about your New Years resolution? RT for a chance to win this @UnderArmour women's gift set to kick-start your ne…,NOT_FOLLOWED,False,5,2017
False,13,259767,29,55,12,False,"RT @MLB: Its tabletop Pinball … and we’re giving away three!

RT for your chance to win. https://t.co/qIPzIgbapT",NOT_FOLLOWED,False,16,2017
True,13,31830,29,55,12,False,RT @aniaaniapawlak: Have you entered my Giveaway yet? Follow and Retweet to win! Winner announced on 3.01.2018! #bbloggers #beauty #win #Wi…,aniaaniapawlak,True,33,2017
False,13,537610,29,55,12,False,RT @AMCTheatres: FOLLOW &amp; RT for your chance to win a @StarWars: #TheLastJedi @IMAX poster signed by the cast &amp; director! Get tix &amp; experie…,AMCTheatres,True,44,2017
False,14,19923,29,24,12,False,"RT @DukeATHLETICS: 12 Days of Giveaways 🔵😈🎁
RT to win 🥇

On the 10th day of giveaways Duke Athletics gave to me...
A special Duke gift pack…",NOT_FOLLOWED,False,40,2017
False,14,745881,29,44,12,False,RT @ToysRUs: We're on the hunt for #AlienVSPredator fans! RT for a chance to win our exclusive @OriginalFunko Face Hugger and Predator Dorb…,NOT_FOLLOWED,False,11,2017
True,14,572195,29,46,12,False,"RT @HouseMusicMiami: RT for a chance to win FREE ENTRY +1 to see @mjcofficial + DIXON Saturday @clubspacemiami!

https://t.co/cAm9xRcR82 ht…",NOT_FOLLOWED,False,10,2017
False,14,817399,29,55,12,False,RT @AMCTheatres: FOLLOW &amp; RT for your chance to win a @StarWars: #TheLastJedi @IMAX poster signed by the cast &amp; director! Get tix &amp; experie…,AMCTheatres,False,29,2017
False,14,706242,29,55,12,False,"RT @MAKEUPP0SI: RT to win @ABHcosmetics  subculture palette ! 

💛💛💛💛💛💛

❣️MUST BE FOLLOWING US. 
❣️must have our notifs on 
❣️ends at 500 f…",MAKEUPP0SI,True,40,2017
False,14,811942,29,55,12,False,RT @BravesRetail: Thinking about your New Years resolution? RT for a chance to win this @UnderArmour women's gift set to kick-start your ne…,NOT_FOLLOWED,False,53,2017
